1,70.41,417.53,547.2907,9.5877,-0.201897,-0.045794,0.156103,0.555309,0.406459,23.3415,-0.2109,2.3961,1,0.15626209,12,0.282730701,-0.275307547,-176.6982408,-8.952177339,10.65534308,14.37318732,10.34632526,1,3.70667,19.97693793,0,1,0,0,0,0,0,0,0,0,7.114120814,0,1.171292405,0,0,0,0,0.67241,3,21,0,0,-0.01,0.857142857,0.026105442,0.010775
1,82.88,374.45,554.3226,9.4453,-0.206829,-0.044744,0.162085,0.558283,0.406995,-30.6316,-2.7653,-5.7568,1,0.01380625,6,0.214504101,0.014677158,-139.9823682,-10.4525218,27.06143082,23.0774018,21.621998,1,1.93336,7.963256079,0,1,0,0,0,0,0,0,0,0,7.300632031,0,1.224121401,0,0,0,0,0.71154,3,17,0,0,-0.01,1,0.028394926,0.01390625
1,103.26,315.41,695.4761,8.8952,-0.218028,-0.057031,0.160998,0.704385,0.407497,22.1793,-6.6871,0.9569,1,0.55845729,6,0.447580395,0.175199514,482.8154041,-2.16581497,11.47892692,9.596435715,10.58881084,1,0.96966,7.095088956,0,1,0,0,0,0,0,8.73603647,0,0,7.436471673,0.661097617,1.361853786,0,0.661097617,0,0,0.71591,3,15,0,0.814325285,0.001,0.833333333,0.017687075,0.01125
1,94.42,274.31,408.667,7.795,-0.217104,-0.065962,0.151142,0.58278,0.405474,10.6656,0.007,0.0106,1,0.298116,6,0.247399688,0.140092994,380.8764592,10.00378729,7.946969756,31.84228776,8.531447076,0,2.14027,28.54404588,0,0,0,0,0,0,3.852167423,0,0,0,7.834322472,0,3.7213122,0,0,0,0,0.68421,3,16,0.5,0,-0.01,1,0.01993794,0
1,91.23,332.41,950.7259,8.5917,-0.213356,-0.052467,0.160889,0.557005,0.407329,-23.2819,-2.4388,-2.6998,1,0.334084,6,0.250457878,0.094828329,618.0419331,-5.751788883,20.3932489,11.13663906,11.46377806,1,1.71376,7.472375783,0,1,0,0,0,0,0,4.323670635,0,0,7.417417012,0.599705939,1.20658834,0,0.599705939,0,0,0.69565,3,15,0,0.2,0.001,0.833333333,0.022390671,0.01125
1,67.17,366.45,517.2306,9.9954,-0.203697,-0.041992,0.161705,0.554089,0.405809,-23.4759,-8.6602,0.4838,1,1.26067984,6,0.339762031,0.103736339,104.424582,-10.04814749,19.40595928,21.90867492,14.38171338,1,2.53917,7.470568377,0,1,0,0,0,0,0,0,0,0,7.057730227,0,1.300047484,0,0,0,0,0.70192,3,15,0,0,-0.01,1,0.025681191,0.013013117
1,88.43,387.49,531.8594,9.7518,-0.205008,-0.041376,0.163632,0.55317,0.406021,24.8998,-1.0723,2.4284,1,1.71400464,6,0.323715095,-0.017220098,937.007008,-1.307575534,13.38708923,15.45419221,13.48231056,1,2.95396,8.195141188,0,1,0,0,0,0,0,0,0,0,7.047059422,0.493762257,1.175792633,0,0.493762257,0,0,0.68519,3,16,0,0,0.001,0.833333333,0.025416982,0.009464286
1,79.64,373.46,522.4938,9.4908,-0.206689,-0.046656,0.160033,0.556536,0.407143,24.8928,-0.5604,-1.3142,1,0.051076,6,0.402512897,-0.025311583,112.2566022,-8.181862776,24.99119243,29.91409911,23.27682471,1,2.51756,7.963256079,0,1,0,0,0,0,0,0,0,0,7.153849461,0,1.209163694,0,0,0,0,0.70192,3,16,0,0,-0.01,1,0.028394926,0.01390625
1,70.41,375.5,506.2333,8.0522,-0.203889,-0.05367,0.150218,0.556901,0.408737,27.0954,0.9094,3.1747,1,0.28026436,6,0.403439149,0.060138786,59.90624071,-7.595319609,75.25678483,24.17124663,29.90157282,1,2.34157,7.745697604,0,1,0,0,0,0,0,0,0,0,7.142988385,0,1.323094363,0,0,0,0,0.69,3,15,0,0,-0.01,1,0.027755102,0.011931818
1,99.18,330.39,505.4301,8.8804,-0.21683,-0.047432,0.169398,0.557167,0.40751,21.3412,2.732,0.7959,1,0.85507009,6,0.606631054,-0.293798513,253.2170562,-5.713648697,13.19807578,10.64869963,19.55081891,1,2.42717,20.92717185,0,1,0,0,0,0,0,0,0,0,7.247934599,0,0,0,0,0,0,0.67391,3,15,0,0,0.167,0.8,0.029182054,0.008230453
